path,kind,min_leg_kzt,days_span,n_occurrences
100000003616818100->100000004005964100->100000003616818100,cycle,35000.0,,1
100000003636627100->100000002692750100->100000003636627100,cycle,10000.0,,1
100000003701161100->100000003718221100->100000003701161100,cycle,120000.0,,1
100000003741418100->100000006111439100->100000003741418100,cycle,5000.0,,1
100000003796063100->100000004400305100->100000005910114100->100000008111003100->100000003796063100,cycle,9000.0,,1
100000003796063100->100000004400305100->100000007593823100->100000008111003100->100000003796063100,cycle,9000.0,,1
100000003796063100->100000006866783100->100000000089154100->100000008111003100->100000003796063100,cycle,10000.0,,1
100000003796063100->100000006866783100->100000002306369100->100000008111003100->100000003796063100,cycle,35000.0,,1
100000003796063100->100000008111003100->100000003796063100,cycle,35000.0,,1
100000003796063100->100000008346837100->100000005910114100->100000008111003100->100000003796063100,cycle,35000.0,,1
100000003796063100->100000008346837100->100000007593823100->100000008111003100->100000003796063100,cycle,5000.0,,1
100000003796063100->100000008477350100->100000005910114100->100000008111003100->100000003796063100,cycle,35000.0,,1
100000003796063100->100000008477350100->100000007593823100->100000008111003100->100000003796063100,cycle,10000.0,,1
100000003880331100->100000001857829100->100000003880331100,cycle,100000.0,,1
100000003880331100->100000008603629100->100000001857829100->100000003880331100,cycle,100000.0,,1
100000003880331100->100000008603629100->100000003178549100->100000001857829100->100000003880331100,cycle,40000.0,,1
100000003886323100->100000007749092100->100000003886323100,cycle,7650.0,,1
100000003888271100->100000000580561100->100000003888271100,cycle,12177.0,,1
100000003917461100->100000004386258100->100000003917461100,cycle,10000.0,,1
100000003923946100->100000003977183100->100000003923946100,cycle,82000.0,,1
100000003942602100->100000002527114100->100000003942602100,cycle,30000.0,,1
100000004007116100->100000002731501100->100000004007116100,cycle,10000.0,,1
100000004007116100->100000002731501100->100000004160650100->100000004005964100->100000004007116100,cycle,10000.0,,1
100000004007116100->100000002731501100->100000004160650100->100000004007116100,cycle,10000.0,,1
100000004007116100->100000003616818100->100000004005964100->100000002731501100->100000004007116100,cycle,10000.0,,1
100000004007116100->100000003616818100->100000004005964100->100000004007116100,cycle,15000.0,,1
100000004007116100->100000003616818100->100000004160650100->100000002731501100->100000004007116100,cycle,15000.0,,1
100000004007116100->100000003616818100->100000004160650100->100000004005964100->100000004007116100,cycle,15000.0,,1
100000004007116100->100000003616818100->100000004160650100->100000004007116100,cycle,15000.0,,1
100000004007116100->100000004005964100->100000002731501100->100000004007116100,cycle,10000.0,,1
100000004007116100->100000004005964100->100000002731501100->100000004160650100->100000004007116100,cycle,10000.0,,1
100000004007116100->100000004005964100->100000003616818100->100000004160650100->100000004007116100,cycle,10000.0,,1
100000004007116100->100000004005964100->100000004007116100,cycle,10000.0,,1
100000004015047100->100000001616816100->100000004015047100,cycle,69195.0,,1
100000004070318100->100000002957787100->100000002645993100->100000008413748100->100000004070318100,cycle,7600.0,,1
100000004070318100->100000002957787100->100000008632060100->100000000437046100->100000004070318100,cycle,6000.0,,1
100000004070318100->100000002957787100->100000008632060100->100000004400305100->100000004070318100,cycle,6000.0,,1
100000004070318100->100000002957787100->100000008632060100->100000006866783100->100000004070318100,cycle,6000.0,,1
100000004070318100->100000004400305100->100000001609499100->100000006866783100->100000004070318100,cycle,11000.0,,1
100000004070318100->100000004400305100->100000002645993100->100000008413748100->100000004070318100,cycle,13480.0,,1
100000004070318100->100000004400305100->100000003213473100->100000006866783100->100000004070318100,cycle,10000.0,,1
100000004070318100->100000004400305100->100000004070318100,cycle,19800.0,,1
100000004070318100->100000004400305100->100000004390333100->100000000437046100->100000004070318100,cycle,18807.0,,1
100000004070318100->100000004400305100->100000004390333100->100000006866783100->100000004070318100,cycle,18807.0,,1
100000004070318100->100000004400305100->100000005910114100->100000006866783100->100000004070318100,cycle,19800.0,,1
100000004070318100->100000004400305100->100000008304139100->100000000437046100->100000004070318100,cycle,19800.0,,1
100000004070318100->100000004400305100->100000008304139100->100000006866783100->100000004070318100,cycle,19800.0,,1
100000004070318100->100000004400305100->100000008587459100->100000006866783100->100000004070318100,cycle,19800.0,,1
100000004070318100->100000004400305100->100000008686313100->100000000437046100->100000004070318100,cycle,19800.0,,1
100000004070318100->100000004400305100->100000008686313100->100000006866783100->100000004070318100,cycle,19800.0,,1
100000004070318100->100000006866783100->100000000089154100->100000000437046100->100000004070318100,cycle,10000.0,,1
100000004070318100->100000006866783100->100000001660397100->100000008413748100->100000004070318100,cycle,13000.0,,1
100000004070318100->100000006866783100->100000004070318100,cycle,64725.0,,1
100000004070318100->100000006866783100->100000004351795100->100000000437046100->100000004070318100,cycle,66404.0,,1
100000004070318100->100000006866783100->100000004390333100->100000000437046100->100000004070318100,cycle,45751.0,,1
100000004070318100->100000006866783100->100000007639767100->100000000437046100->100000004070318100,cycle,23018.0,,1
100000004070318100->100000006866783100->100000007639767100->100000004400305100->100000004070318100,cycle,10000.0,,1
100000004070318100->100000006866783100->100000008304139100->100000000437046100->100000004070318100,cycle,23567.0,,1
100000004070318100->100000006866783100->100000008686313100->100000000437046100->100000004070318100,cycle,29200.0,,1
100000004070318100->100000008346837100->100000004351795100->100000000437046100->100000004070318100,cycle,29511.0,,1
100000004070318100->100000008346837100->100000005910114100->100000006866783100->100000004070318100,cycle,60059.0,,1
100000004070318100->100000008477350100->100000005910114100->100000006866783100->100000004070318100,cycle,25000.0,,1
100000004070318100->100000008477350100->100000007639767100->100000000437046100->100000004070318100,cycle,16305.0,,1
100000004070318100->100000008477350100->100000007639767100->100000004400305100->100000004070318100,cycle,10000.0,,1
100000004070318100->100000008477350100->100000007639767100->100000006866783100->100000004070318100,cycle,10000.0,,1
100000004070318100->100000008477350100->100000008086440100->100000000437046100->100000004070318100,cycle,25000.0,,1
100000004070318100->100000008603629100->100000001609499100->100000006866783100->100000004070318100,cycle,11000.0,,1
100000004070318100->100000008603629100->100000001660397100->100000006866783100->100000004070318100,cycle,23126.0,,1
100000004070318100->100000008603629100->100000001660397100->100000008413748100->100000004070318100,cycle,13000.0,,1
100000004070318100->100000008603629100->100000004351795100->100000000437046100->100000004070318100,cycle,22418.0,,1
100000004070318100->100000008603629100->100000007639767100->100000000437046100->100000004070318100,cycle,23126.0,,1
100000004070318100->100000008603629100->100000007639767100->100000004400305100->100000004070318100,cycle,10000.0,,1
100000004070318100->100000008603629100->100000007639767100->100000006866783100->100000004070318100,cycle,10000.0,,1
100000004070318100->100000008603629100->100000008686313100->100000000437046100->100000004070318100,cycle,23126.0,,1
100000004070318100->100000008603629100->100000008686313100->100000006866783100->100000004070318100,cycle,23126.0,,1
100000004071070100->100000004071080100->100000004071070100,cycle,6000.0,,1
100000004076740100->100000004336312100->100000004017410100->100000005519998100->100000004076740100,cycle,20000.0,,1
100000004076740100->100000004336312100->100000005519998100->100000004076740100,cycle,20000.0,,1
100000004076740100->100000004467157100->100000004076740100,cycle,7000.0,,1
100000004076740100->100000005519998100->100000004076740100,cycle,20000.0,,1
100000004160650100->100000002731501100->100000004160650100,cycle,40000.0,,1
100000004160650100->100000003616818100->100000004005964100->100000002731501100->100000004160650100,cycle,10000.0,,1
100000004160650100->100000003616818100->100000004160650100,cycle,28000.0,,1
100000004160650100->100000004005964100->100000002731501100->100000004160650100,cycle,10000.0,,1
100000004160650100->100000004005964100->100000003616818100->100000004160650100,cycle,35000.0,,1
100000004188160100->100000003016635100->100000004188160100,cycle,18000.0,,1
100000004209339100->100000003635170100->100000004209339100,cycle,138500.0,,1
100000004299488100->100000007055802100->100000004299488100,cycle,204999.0,,1
100000004321983100->100000005171642100->100000004221668100->100000004321983100,cycle,6200.0,,1
100000004330371100->100000003016635100->100000004330371100,cycle,18981.0,,1
100000004330371100->100000006534886100->100000004330371100,cycle,71700.0,,1
100000004336312100->100000004017410100->100000003934614100->100000004336312100,cycle,10000.0,,1
100000004336312100->100000004017410100->100000004336312100,cycle,52650.0,,1
100000004351795100->100000000437046100->100000007639767100->100000006866783100->100000004351795100,cycle,10000.0,,1
100000004351795100->100000000437046100->100000007639767100->100000008603629100->100000004351795100,cycle,22418.0,,1
100000004351795100->100000000437046100->100000008603629100->100000004351795100,cycle,5000.0,,1
100000004351795100->100000003242289100->100000004140487100->100000008603629100->100000004351795100,cycle,20000.0,,1
100000004351795100->100000003242289100->100000008304139100->100000006866783100->100000004351795100,cycle,49000.0,,1
100000004351795100->100000003242289100->100000008304139100->100000008603629100->100000004351795100,cycle,22418.0,,1
100000004351795100->100000008603629100->100000001609499100->100000006866783100->100000004351795100,cycle,11000.0,,1
100000004351795100->100000008603629100->100000001660397100->100000006866783100->100000004351795100,cycle,24000.0,,1
100000004351795100->100000008603629100->100000004351795100,cycle,22418.0,,1
100000004351795100->100000008603629100->100000007639767100->100000006866783100->100000004351795100,cycle,10000.0,,1
100000004386331100->100000004386258100->100000004386331100,cycle,5000.0,,1
100000004390333100->100000000437046100->100000007639767100->100000004400305100->100000004390333100,cycle,10000.0,,1
100000004390333100->100000000437046100->100000007639767100->100000006866783100->100000004390333100,cycle,10000.0,,1
100000004390333100->100000006866783100->100000004390333100,cycle,45751.0,,1
100000004390333100->100000006866783100->100000007639767100->100000004400305100->100000004390333100,cycle,10000.0,,1
100000004390333100->100000008477350100->100000005910114100->100000006866783100->100000004390333100,cycle,40000.0,,1
100000004390333100->100000008477350100->100000007639767100->100000004400305100->100000004390333100,cycle,10000.0,,1
100000004390333100->100000008477350100->100000007639767100->100000006866783100->100000004390333100,cycle,10000.0,,1
100000004390333100->100000008603629100->100000001609499100->100000006866783100->100000004390333100,cycle,11000.0,,1
100000004390333100->100000008603629100->100000001660397100->100000006866783100->100000004390333100,cycle,24000.0,,1
100000004390333100->100000008603629100->100000007639767100->100000004400305100->100000004390333100,cycle,10000.0,,1
100000004390333100->100000008603629100->100000007639767100->100000006866783100->100000004390333100,cycle,10000.0,,1
100000004400305100->100000003213473100->100000004400305100,cycle,9000.0,,1
100000004400305100->100000005052998100->100000008477350100->100000007639767100->100000004400305100,cycle,9500.0,,1
100000004403675100->100000003988112100->100000004403675100,cycle,64000.0,,1
100000004407753100->100000007382543100->100000004407753100,cycle,100000.0,,1
100000004475818100->100000005665181100->100000004475818100,cycle,13000.0,,1
100000004544958100->100000004677680100->100000004544958100,cycle,18000.0,,1
100000004603109100->100000002224132100->100000000552584100->100000004603109100,cycle,57500.0,,1
100000004603109100->100000002224132100->100000004603109100,cycle,300000.0,,1
100000004670388100->100000000291906100->100000004670388100,cycle,160354.0,,1
100000004692798100->100000000831684100->100000004692798100,cycle,15000.0,,1
100000004715209100->100000008603331100->100000004715209100,cycle,5000.0,,1
100000004717647100->100000004479404100->100000004717647100,cycle,300000.0,,1
100000004765639100->100000002293421100->100000004180097100->100000004765639100,cycle,5000.0,,1
100000004765639100->100000004180097100->100000004765639100,cycle,5000.0,,1
100000004847758100->100000008603629100->100000001609499100->100000006866783100->100000004847758100,cycle,11000.0,,1
100000004847758100->100000008603629100->100000001660397100->100000006866783100->100000004847758100,cycle,18775.0,,1
100000004847758100->100000008603629100->100000004679953100->100000005782781100->100000004847758100,cycle,16000.0,,1
100000004847758100->100000008603629100->100000004847758100,cycle,25612.0,,1
100000004847758100->100000008603629100->100000007639767100->100000004400305100->100000004847758100,cycle,10000.0,,1
100000004847758100->100000008603629100->100000007639767100->100000006866783100->100000004847758100,cycle,10000.0,,1
100000004892144100->100000002224132100->100000000552584100->100000004603109100->100000004892144100,cycle,57500.0,,1
100000004892144100->100000002224132100->100000000594783100->100000004603109100->100000004892144100,cycle,92500.0,,1
100000004892144100->100000002224132100->100000004603109100->100000004892144100,cycle,100000.0,,1
100000004892144100->100000002224132100->100000004892144100,cycle,180300.0,,1
100000004979498100->100000008571433100->100000004135268100->100000004979498100,cycle,200000.0,,1
100000005037490100->100000008733194100->100000005037490100,cycle,14000.0,,1
100000005048668100->100000008346837100->100000005048668100,cycle,6500.0,,1
100000005077484100->100000001380054100->100000005077484100,cycle,7050.0,,1
100000005142492100->100000002870463100->100000005142492100,cycle,10000.0,,1
100000005168487100->100000002941114100->100000005168487100,cycle,15000.0,,1
100000005171642100->100000004221668100->100000005171642100,cycle,683600.0,,1
100000005264874100->100000005507142100->100000005264874100,cycle,13000.0,,1
100000005287097100->100000003016635100->100000001049200100->100000004156082100->100000005287097100,cycle,6014.0,,1
100000005287097100->100000003016635100->100000005287097100,cycle,110723.0,,1
100000005287097100->100000003016635100->100000008169544100->100000004156082100->100000005287097100,cycle,5000.0,,1
100000005287097100->100000004150593100->100000008595687100->100000003016635100->100000005287097100,cycle,10400.0,,1
100000005287097100->100000004156082100->100000004188160100->100000003016635100->100000005287097100,cycle,8600.0,,1
100000005287097100->100000004156082100->100000005287097100,cycle,16450.0,,1
100000005339662100->100000004820260100->100000005175148100->100000005339662100,cycle,15000.0,,1
100000005339662100->100000004820260100->100000005339662100,cycle,135850.0,,1
100000005339662100->100000005175148100->100000005339662100,cycle,5000.0,,1
100000005342513100->100000002733905100->100000005342513100,cycle,30000.0,,1
100000005367445100->100000005413948100->100000005367445100,cycle,5000.0,,1
100000005382566100->100000004041163100->100000005382566100,cycle,50000.0,,1
100000005507142100->100000002612809100->100000005507142100,cycle,15000.0,,1
100000005519998100->100000003934614100->100000004336312100->100000004017410100->100000005519998100,cycle,7000.0,,1
100000005519998100->100000003934614100->100000004336312100->100000005519998100,cycle,7000.0,,1
100000005519998100->100000004017410100->100000003934614100->100000004336312100->100000005519998100,cycle,10000.0,,1
100000005519998100->100000004017410100->100000004336312100->100000005519998100,cycle,20000.0,,1
100000005519998100->100000004017410100->100000005519998100,cycle,141000.0,,1
100000005546031100->100000005547096100->100000005546031100,cycle,8000.0,,1
100000005602999100->100000003635170100->100000005602999100,cycle,5000.0,,1
100000005704413100->100000004569484100->100000005578559100->100000005704413100,cycle,36834.67,,1
100000005704413100->100000004569484100->100000005704413100,cycle,41000.0,,1
100000005704413100->100000004569484100->100000005933757100->100000008104567100->100000005704413100,cycle,20000.0,,1
100000005820746100->100000001965374100->100000005820746100,cycle,60000.0,,1
100000005882013100->100000005074393100->100000005882013100,cycle,10000.0,,1
100000005910114100->100000002957787100->100000008632060100->100000004400305100->100000005910114100,cycle,6000.0,,1
100000005910114100->100000006866783100->100000002306369100->100000008477350100->100000005910114100,cycle,35000.0,,1
100000005910114100->100000006866783100->100000007639767100->100000004400305100->100000005910114100,cycle,10000.0,,1
100000005910114100->100000006866783100->100000008304139100->100000008477350100->100000005910114100,cycle,23567.0,,1
100000005911352100->100000004508696100->100000005911352100,cycle,7000.0,,1
100000005933757100->100000002963189100->100000005933757100,cycle,490000.0,,1
100000005933757100->100000004569484100->100000005933757100,cycle,32607.0,,1
100000006069103100->100000000201868100->100000006069103100,cycle,190000.0,,1
100000006169033100->100000008011159100->100000006169033100,cycle,49000.0,,1
100000006232815100->100000001380054100->100000006232815100,cycle,120000.0,,1
100000006274203100->100000007594394100->100000006274203100,cycle,5000.0,,1
100000006385877100->100000006443391100->100000006385877100,cycle,36602.93,,1
100000006518161100->100000005660203100->100000006518161100,cycle,23000.0,,1
100000006579678100->100000003016635100->100000006579678100,cycle,42930.0,,1
100000006579678100->100000003237045100->100000006579678100,cycle,150000.0,,1
100000006707582100->100000000850297100->100000006707582100,cycle,17520.0,,1
100000006844768100->100000004759121100->100000006844768100,cycle,175000.0,,1
100000006866783100->100000000089154100->100000000437046100->100000007639767100->100000006866783100,cycle,10000.0,,1
100000006866783100->100000000089154100->100000006866783100,cycle,10000.0,,1
100000006866783100->100000001609499100->100000006866783100,cycle,11000.0,,1
100000006866783100->100000002306369100->100000008477350100->100000007639767100->100000006866783100,cycle,10000.0,,1
100000006866783100->100000007639767100->100000004400305100->100000001609499100->100000006866783100,cycle,10000.0,,1
100000006866783100->100000007639767100->100000004400305100->100000003213473100->100000006866783100,cycle,10000.0,,1
100000006866783100->100000007639767100->100000006866783100,cycle,10000.0,,1
100000006912294100->100000006443391100->100000006912294100,cycle,6335.09,,1
100000007131370100->100000000076451100->100000007131370100,cycle,30000.0,,1
100000007322059100->100000004552204100->100000007322059100,cycle,5000.0,,1
100000007390016100->100000008324800100->100000007390016100,cycle,346500.0,,1
100000007442518100->100000008258083100->100000000673868100->100000007442518100,cycle,115000.0,,1
100000007593823100->100000008346837100->100000007593823100,cycle,5000.0,,1
100000007898453100->100000003946524100->100000007898453100,cycle,20000.0,,1
100000008086440100->100000008477350100->100000008086440100,cycle,18900.0,,1
100000008086440100->100000008603629100->100000001660397100->100000008477350100->100000008086440100,cycle,12000.0,,1
100000008121806100->100000008346837100->100000005910114100->100000001857829100->100000008121806100,cycle,5000.0,,1
100000008169544100->100000003016635100->100000008169544100,cycle,17300.0,,1
100000008169544100->100000004156082100->100000004188160100->100000003016635100->100000008169544100,cycle,5000.0,,1
100000008193577100->100000005456919100->100000008659445100->100000008193577100,cycle,5000.0,,1
100000008193577100->100000008659445100->100000008193577100,cycle,56190.0,,1
100000008254069100->100000003809101100->100000008254069100,cycle,10200.0,,1
100000008258083100->100000000673868100->100000008258083100,cycle,149500.0,,1
100000008293431100->100000000437046100->100000008293431100,cycle,15000.0,,1
100000008304139100->100000000437046100->100000007639767100->100000004400305100->100000008304139100,cycle,10000.0,,1
100000008304139100->100000000437046100->100000007639767100->100000006866783100->100000008304139100,cycle,10000.0,,1
100000008304139100->100000006866783100->100000007639767100->100000004400305100->100000008304139100,cycle,10000.0,,1
100000008304139100->100000006866783100->100000008304139100,cycle,23567.0,,1
100000008304139100->100000008477350100->100000007639767100->100000004400305100->100000008304139100,cycle,10000.0,,1
100000008304139100->100000008477350100->100000007639767100->100000006866783100->100000008304139100,cycle,10000.0,,1
100000008314203100->100000001732159100->100000008314203100,cycle,95000.0,,1
100000008314203100->100000001732159100->100000008637537100->100000008314203100,cycle,60000.0,,1
100000008314203100->100000008637537100->100000001732159100->100000008314203100,cycle,232000.0,,1
100000008314203100->100000008637537100->100000008314203100,cycle,60000.0,,1
100000008389800100->100000007511163100->100000008389800100,cycle,49000.0,,1
100000008389800100->100000008430691100->100000008389800100,cycle,20000.0,,1
100000008413748100->100000008304139100->100000006866783100->100000001660397100->100000008413748100,cycle,13000.0,,1
100000008413748100->100000008304139100->100000008603629100->100000001660397100->100000008413748100,cycle,13000.0,,1
100000008417359100->100000008512552100->100000003242289100->100000008417359100,cycle,20760.0,,1
100000008443341100->100000008477350100->100000005910114100->100000006866783100->100000008443341100,cycle,17000.0,,1
100000008443341100->100000008477350100->100000007639767100->100000006866783100->100000008443341100,cycle,10000.0,,1
100000008474308100->100000008443341100->100000008474308100,cycle,10000.0,,1
100000008512552100->100000003242289100->100000008512552100,cycle,49000.0,,1
100000008545727100->100000005473151100->100000008545727100,cycle,30000.0,,1
100000008546855100->100000007689942100->100000008546855100,cycle,5000.0,,1
100000008547844100->100000008465789100->100000008466579100->100000008547948100->100000008547844100,cycle,30000.0,,1
100000008547844100->100000008465789100->100000008547948100->100000008547844100,cycle,20000.0,,1
100000008547844100->100000008547948100->100000008547844100,cycle,61000.0,,1
100000008547948100->100000008489922100->100000008547948100,cycle,30000.0,,1
100000008571433100->100000004135268100->100000008571433100,cycle,150000.0,,1
100000008582730100->100000008546855100->100000008582730100,cycle,5000.0,,1
100000008587459100->100000006866783100->100000007639767100->100000004400305100->100000008587459100,cycle,10000.0,,1
100000008587459100->100000006866783100->100000008304139100->100000008587459100,cycle,23567.0,,1
100000008603629100->100000001138283100->100000008603629100,cycle,40000.0,,1
100000008603629100->100000001609499100->100000006866783100->100000002306369100->100000008603629100,cycle,11000.0,,1
100000008603629100->100000001609499100->100000006866783100->100000007639767100->100000008603629100,cycle,11000.0,,1
100000008603629100->100000001609499100->100000006866783100->100000008304139100->100000008603629100,cycle,11000.0,,1
100000008603629100->100000001660397100->100000006866783100->100000002306369100->100000008603629100,cycle,20900.0,,1
100000008603629100->100000001660397100->100000006866783100->100000007639767100->100000008603629100,cycle,23018.0,,1
100000008603629100->100000001660397100->100000006866783100->100000008304139100->100000008603629100,cycle,23567.0,,1
100000008603629100->100000001660397100->100000008477350100->100000003968044100->100000008603629100,cycle,12000.0,,1
100000008603629100->100000001660397100->100000008477350100->100000005910114100->100000008603629100,cycle,12000.0,,1
100000008603629100->100000001660397100->100000008477350100->100000007639767100->100000008603629100,cycle,12000.0,,1
100000008603629100->100000001857829100->100000008603629100,cycle,26000.0,,1
100000008603629100->100000002723538100->100000003242289100->100000004140487100->100000008603629100,cycle,20000.0,,1
100000008603629100->100000002723538100->100000003242289100->100000008304139100->100000008603629100,cycle,33000.0,,1
100000008603629100->100000002723538100->100000008603629100,cycle,70647.0,,1
100000008603629100->100000003178549100->100000001857829100->100000008603629100,cycle,26000.0,,1
100000008603629100->100000007639767100->100000000437046100->100000008603629100,cycle,5000.0,,1
100000008603629100->100000007639767100->100000004400305100->100000002723538100->100000008603629100,cycle,10000.0,,1
100000008603629100->100000007639767100->100000004400305100->100000005048668100->100000008603629100,cycle,10000.0,,1
100000008603629100->100000007639767100->100000004400305100->100000005910114100->100000008603629100,cycle,10000.0,,1
100000008603629100->100000007639767100->100000004400305100->100000008304139100->100000008603629100,cycle,10000.0,,1
100000008603629100->100000007639767100->100000006866783100->100000002306369100->100000008603629100,cycle,10000.0,,1
100000008603629100->100000007639767100->100000006866783100->100000008304139100->100000008603629100,cycle,10000.0,,1
100000008603629100->100000007639767100->100000008603629100,cycle,23722.0,,1
100000008636603100->100000000667713100->100000008636603100,cycle,12750.0,,1
100000008636603100->100000003016635100->100000000667713100->100000008636603100,cycle,12750.0,,1
100000008659445100->100000005456919100->100000008659445100,cycle,5000.0,,1
100000008686247100->100000005664922100->100000008686247100,cycle,5000.0,,1
100000008686313100->100000000437046100->100000001279272100->100000000331309100->100000008686313100,cycle,29200.0,,1
100000008686313100->100000000437046100->100000007639767100->100000004400305100->100000008686313100,cycle,10000.0,,1
100000008686313100->100000000437046100->100000007639767100->100000006866783100->100000008686313100,cycle,10000.0,,1
100000008686313100->100000000437046100->100000007639767100->100000008603629100->100000008686313100,cycle,27868.0,,1
100000008686313100->100000000437046100->100000008603629100->100000008686313100,cycle,5000.0,,1
100000008686313100->100000000437046100->100000008686313100,cycle,29200.0,,1
100000008686313100->100000006866783100->100000000089154100->100000000437046100->100000008686313100,cycle,10000.0,,1
100000008686313100->100000006866783100->100000002306369100->100000008603629100->100000008686313100,cycle,20900.0,,1
100000008686313100->100000006866783100->100000004351795100->100000000437046100->100000008686313100,cycle,48100.0,,1
100000008686313100->100000006866783100->100000004351795100->100000008603629100->100000008686313100,cycle,48100.0,,1
100000008686313100->100000006866783100->100000004390333100->100000000437046100->100000008686313100,cycle,45751.0,,1
100000008686313100->100000006866783100->100000004390333100->100000008603629100->100000008686313100,cycle,45751.0,,1
100000008686313100->100000006866783100->100000004403675100->100000000331309100->100000008686313100,cycle,47187.0,,1
100000008686313100->100000006866783100->100000004847758100->100000008603629100->100000008686313100,cycle,18775.0,,1
100000008686313100->100000006866783100->100000007639767100->100000000437046100->100000008686313100,cycle,23018.0,,1
